race_id,rank,player_id
0,"[1, 2, 3]","[101, 102, 103]"
1,"[1, 2, 3]","[101, 102, 103]"
2,"[1, 2, 3]","[101, 102, 103]"
3,"[1, 2, 3]","[101, 102, 103]"
4,"[1, 2, 3]","[101, 102, 103]"
5,"[1, 2, 3]","[101, 102, 103]"
6,"[1, 2, 3]","[101, 102, 103]"
7,"[1, 2, 3]","[101, 102, 103]"
8,"[1, 2, 3]","[101, 102, 103]"
9,"[1, 2, 3]","[101, 102, 103]"
10,"[1, 2, 3]","[101, 102, 103]"
11,"[1, 2, 3]","[101, 102, 103]"
12,"[1, 2, 3]","[101, 102, 103]"
13,"[1, 2, 3]","[101, 102, 103]"
14,"[1, 2, 3]","[101, 102, 103]"
15,"[1, 2, 3]","[101, 102, 103]"
16,"[1, 2, 3]","[101, 102, 103]"
17,"[1, 2, 3]","[101, 102, 103]"
18,"[1, 2, 3]","[101, 102, 103]"
19,"[1, 2, 3]","[101, 102, 103]"
20,"[1, 2, 3]","[101, 102, 103]"
21,"[1, 2, 3]","[101, 102, 103]"
22,"[1, 2, 3]","[101, 102, 103]"
23,"[1, 2, 3]","[101, 102, 103]"
24,"[1, 2, 3]","[101, 102, 103]"
25,"[1, 2, 3]","[101, 102, 103]"
26,"[1, 2, 3]","[101, 102, 103]"
27,"[1, 2, 3]","[101, 102, 103]"
28,"[1, 2, 3]","[101, 102, 103]"
29,"[1, 2, 3]","[101, 102, 103]"
30,"[1, 2, 3]","[101, 102, 103]"
31,"[1, 2, 3]","[101, 102, 103]"
32,"[1, 2, 3]","[101, 102, 103]"
33,"[1, 2, 3]","[101, 102, 103]"
34,"[1, 2, 3]","[101, 102, 103]"
35,"[1, 2, 3]","[101, 102, 103]"
36,"[1, 2, 3]","[101, 102, 103]"
37,"[1, 2, 3]","[101, 102, 103]"
38,"[1, 2, 3]","[101, 102, 103]"
39,"[1, 2, 3]","[101, 102, 103]"
40,"[1, 2, 3]","[101, 102, 103]"
41,"[1, 2, 3]","[101, 102, 103]"
42,"[1, 2, 3]","[101, 102, 103]"
43,"[1, 2, 3]","[101, 102, 103]"
44,"[1, 2, 3]","[101, 102, 103]"
45,"[1, 2, 3]","[101, 102, 103]"
46,"[1, 2, 3]","[101, 102, 103]"
47,"[1, 2, 3]","[101, 102, 103]"
48,"[1, 2, 3]","[101, 102, 103]"
49,"[1, 2, 3]","[101, 102, 103]"
50,"[1, 2, 3]","[101, 102, 103]"
51,"[1, 2, 3]","[101, 102, 103]"
52,"[1, 2, 3]","[101, 102, 103]"
53,"[1, 2, 3]","[101, 102, 103]"
54,"[1, 2, 3]","[101, 102, 103]"
55,"[1, 2, 3]","[101, 102, 103]"
56,"[1, 2, 3]","[101, 102, 103]"
57,"[1, 2, 3]","[101, 102, 103]"
58,"[1, 2, 3]","[101, 102, 103]"
59,"[1, 2, 3]","[101, 102, 103]"
60,"[1, 2, 3]","[101, 102, 103]"
61,"[1, 2, 3]","[101, 102, 103]"
62,"[1, 2, 3]","[101, 102, 103]"
63,"[1, 2, 3]","[101, 102, 103]"
64,"[1, 2, 3]","[101, 102, 103]"
65,"[1, 2, 3]","[101, 102, 103]"
66,"[1, 2, 3]","[101, 102, 103]"
67,"[1, 2, 3]","[101, 102, 103]"
68,"[1, 2, 3]","[101, 102, 103]"
69,"[1, 2, 3]","[101, 102, 103]"
70,"[1, 2, 3]","[101, 102, 103]"
71,"[1, 2, 3]","[101, 102, 103]"
72,"[1, 2, 3]","[101, 102, 103]"
73,"[1, 2, 3]","[101, 102, 103]"
74,"[1, 2, 3]","[101, 102, 103]"
75,"[1, 2, 3]","[101, 102, 103]"
76,"[1, 2, 3]","[101, 102, 103]"
77,"[1, 2, 3]","[101, 102, 103]"
78,"[1, 2, 3]","[101, 102, 103]"
79,"[1, 2, 3]","[101, 102, 103]"
80,"[1, 2, 3]","[101, 102, 103]"
81,"[1, 2, 3]","[101, 102, 103]"
82,"[1, 2, 3]","[101, 102, 103]"
83,"[1, 2, 3]","[101, 102, 103]"
84,"[1, 2, 3]","[101, 102, 103]"
85,"[1, 2, 3]","[101, 102, 103]"
86,"[1, 2, 3]","[101, 102, 103]"
87,"[1, 2, 3]","[101, 102, 103]"
88,"[1, 2, 3]","[101, 102, 103]"
89,"[1, 2, 3]","[101, 102, 103]"
90,"[1, 2, 3]","[101, 102, 103]"
91,"[1, 2, 3]","[101, 102, 103]"
92,"[1, 2, 3]","[101, 102, 103]"
93,"[1, 2, 3]","[101, 102, 103]"
94,"[1, 2, 3]","[101, 102, 103]"
95,"[1, 2, 3]","[101, 102, 103]"
96,"[1, 2, 3]","[101, 102, 103]"
97,"[1, 2, 3]","[101, 102, 103]"
98,"[1, 2, 3]","[101, 102, 103]"
99,"[1, 2, 3]","[101, 102, 103]"
