競輪場,レース番号,開始時間,開始日目,レース区分,3着以内_大穴,3着以内_補欠_大穴,選手数_大穴,2車単_大穴,A率_大穴,B率_大穴,C率_大穴,D率_大穴,CT値_大穴,スコア_大穴
名古屋競輪,1R,08:30,2日目,Ａ,"=""5-4-1""",2,7,"=""5-4""",0.4384,0.4317,0.3802999999999999,0.2713,0.38115875912408764,40.21623957247132
福井競輪,1R,08:40,初日,チ,"=""1-7-3""",4,7,"=""1-7""",0.4735,0.4106999999999999,0.365,0.3237,0.3163674762407603,40.67153039674159
名古屋競輪,2R,08:50,2日目,Ａ,"=""1-5-4""",7,7,"=""1-5""",0.4382,0.426,0.3928,0.3478,0.2062984938384299,35.337495598878526
福井競輪,2R,09:00,初日,チ,"=""4-2-1""",3,7,"=""4-2""",0.4458,0.3419999999999999,0.2903,0.2836999999999999,0.3636159712875731,42.66028135614947
名古屋競輪,3R,09:10,2日目,Ａ,"=""1-7-3""",5,7,"=""1-7""",0.4998,0.4782999999999999,0.3652999999999999,0.3126,0.37454981992797126,41.73955696564341
福井競輪,3R,09:20,初日,チ,"=""3-5-4""",2,7,"=""3-5""",0.3915999999999999,0.3238999999999999,0.2865999999999999,0.2377,0.39300306435137883,37.8019465927331
名古屋競輪,4R,09:30,2日目,Ａ,"=""5-7-2""",1,7,"=""5-7""",0.4125,0.3378,0.3058999999999999,0.2949,0.28509090909090906,36.150541125541125
福井競輪,4R,09:40,初日,チ,"=""5-7-1""",3,7,"=""5-7""",0.4466,0.4362,0.3982,0.2803,0.37236901030004477,41.585805770584095
名古屋競輪,5R,09:50,2日目,Ａ,"=""4-2-5""",7,7,"=""4-2""",0.4801999999999999,0.4518,0.3555,0.3201,0.33340274885464377,41.61129707859819
福井競輪,5R,10:00,初日,チ,"=""5-2-3""",4,7,"=""5-2""",0.4669,0.4276,0.3798,0.3758,0.19511672735061034,36.11922513233179
名古屋競輪,6R,10:10,2日目,Ａ,"=""1-3-7""",4,7,"=""1-3""",0.4610999999999999,0.4463,0.3421999999999999,0.2829,0.3864671437865972,41.44348096167549
福井競輪,6R,10:20,初日,ガ,"=""4-3-7""",2,7,"=""4-3""",0.4004999999999999,0.2922,0.2645999999999999,0.1752,0.5625468164794006,47.68595951489208
名古屋競輪,7R,10:30,2日目,Ａ,"=""1-5-7""",3,7,"=""1-5""",0.492,0.4353,0.3782,0.2542999999999999,0.4831300813008132,46.05107433217191
福井競輪,7R,10:40,初日,ガ,"=""3-2-6""",1,7,"=""3-2""",0.433,0.3310999999999999,0.272,0.1565999999999999,0.6383371824480372,50.213180468492254
高知競輪,1R,10:45,2日目,Ａ,"=""4-1-5""",2,6,"=""4-1""",0.4998,0.495,0.434,0.4304,0.13885554221688678,34.49796985460851
高知競輪,2R,11:14,2日目,Ａ,"=""4-3-1""",5,7,"=""4-3""",0.3151,0.2887999999999999,0.2831,0.255,0.19073310060298315,29.358391213673663
高知競輪,3R,11:43,2日目,Ａ,"=""2-5-7""",3,7,"=""2-5""",0.4948,0.473,0.3768,0.2661,0.4622069523039612,45.53195057165954
高知競輪,4R,12:12,2日目,Ａ,"=""1-2-5""",3,7,"=""1-2""",0.4637,0.4032,0.3294,0.2722,0.4129825318093595,42.8783054006593
高知競輪,5R,12:41,2日目,Ａ,"=""4-1-2""",3,7,"=""4-1""",0.4804,0.428,0.2874,0.2292999999999999,0.522689425478768,47.80821220411563
高知競輪,6R,13:10,2日目,Ｓ,"=""2-1-3""",4,6,"=""2-1""",0.478,0.4757,0.3618,0.2339,0.5106694560669456,45.65383542538354
高知競輪,7R,13:39,2日目,Ｓ,"=""4-2-5""",1,6,"=""4-2""",0.4634,0.4604,0.3964,0.3959,0.1456624946050928,32.13543662782334
高知競輪,8R,14:08,2日目,Ｓ,"=""4-2-7""",5,7,"=""4-2""",0.4976,0.4452,0.3460999999999999,0.3196,0.35771704180064307,41.97634818557648
高知競輪,9R,14:37,2日目,Ｓ,"=""3-7-4""",1,7,"=""3-7""",0.4792999999999999,0.4789,0.4758,0.3995999999999999,0.16628416440642607,34.498218085899076
高知競輪,10R,15:06,2日目,Ｓ,"=""3-2-7""",1,7,"=""3-2""",0.4161,0.3662999999999999,0.3608,0.2996,0.2799807738524394,35.80911988876301
松戸競輪,1R,15:25,2日目,Ｓ,"=""7-2-1""",4,7,"=""7-2""",0.437,0.408,0.3995999999999999,0.2956999999999999,0.3233409610983984,37.086188296829036
高知競輪,11R,15:38,2日目,Ｓ,"=""4-2-5""",1,7,"=""4-2""",0.4758,0.4627,0.4068,0.2865,0.39785624211853726,41.886589203146585
松戸競輪,2R,15:51,2日目,Ｓ,"=""3-1-4""",5,7,"=""3-1""",0.4578,0.4055999999999999,0.3651,0.3289999999999999,0.28134556574923564,38.601009174311926
高知競輪,12R,16:10,2日目,Ｓ,"=""5-4-2""",1,7,"=""5-4""",0.4877,0.3527,0.3436,0.2789,0.428132048390404,46.28883432437975
松戸競輪,3R,16:17,2日目,Ｓ,"=""3-5-1""",2,8,"=""3-5""",0.4659999999999999,0.3415,0.288,0.2368,0.4918454935622316,48.69498390557939
松戸競輪,4R,16:43,2日目,Ｓ,"=""4-1-3""",5,8,"=""4-1""",0.4975,0.3861,0.3364,0.271,0.4552763819095477,47.91017587939699
松戸競輪,5R,17:10,2日目,Ｓ,"=""5-3-1""",4,8,"=""5-3""",0.4747,0.4455,0.3672999999999999,0.2010999999999999,0.5763640193806617,49.54406361912788
松戸競輪,6R,17:37,2日目,Ｓ,"=""7-5-2""",1,9,"=""7-5""",0.3944,0.3608,0.3273,0.3034,0.2307302231237322,34.82099729546991
松戸競輪,7R,18:04,2日目,Ｓ,"=""9-2-7""",1,9,"=""9-2""",0.491,0.4825,0.419,0.3903999999999999,0.20488798370672115,40.75558949988686
松戸競輪,8R,18:32,2日目,Ｓ,"=""2-7-3""",9,9,"=""2-7""",0.4975,0.4356,0.415,0.364,0.2683417085427136,42.14077331099945
松戸競輪,9R,19:00,2日目,Ｓ,"=""5-2-3""",1,9,"=""5-2""",0.4165,0.3209999999999999,0.3188,0.268,0.35654261704681867,42.115516206482596
松戸競輪,10R,19:30,2日目,Ｓ,"=""3-9-7""",1,9,"=""3-9""",0.4414,0.3913,0.3355,0.3343,0.24263706388763032,38.86064089009717
松戸競輪,11R,20:00,2日目,Ｓ,"=""2-9-1""",5,9,"=""2-9""",0.4822999999999999,0.361,0.2727,0.2654999999999999,0.44951275139954394,49.43522484852673
松戸競輪,12R,20:30,2日目,Ｓ,"=""3-9-7""",1,9,"=""3-9""",0.4871999999999999,0.358,0.2942,0.2623999999999999,0.4614121510673236,48.630776318190115
青森競輪,1R,20:41,初日,Ａ,"=""7-3-2""",4,7,"=""7-3""",0.4795,0.3487,0.3007999999999999,0.2694,0.43816475495307616,45.32685461045732
小松島競輪,1R,20:49,初日,チ,"=""3-2-4""",5,7,"=""3-2""",0.4568,0.4338999999999999,0.4071,0.2875,0.37062171628721546,40.05838253690268
前橋競輪,1R,20:57,初日,チ,"=""2-4-3""",5,7,"=""2-4""",0.3898,0.3695,0.3669,0.1952,0.49923037455105174,40.78480319577805
青森競輪,2R,21:05,初日,Ａ,"=""2-3-4""",5,7,"=""2-3""",0.4540999999999999,0.3807,0.3135,0.2554999999999999,0.4373486016295971,43.89762591625507
小松島競輪,2R,21:13,初日,チ,"=""5-2-4""",3,7,"=""5-2""",0.4492,0.4185,0.3759,0.3525,0.21527159394479076,35.38138404783106
前橋競輪,2R,21:21,初日,チ,"=""3-5-4""",2,7,"=""3-5""",0.3839,0.3421999999999999,0.2926999999999999,0.2386,0.3784839802031779,37.944302273657584
青森競輪,3R,21:29,初日,Ａ,"=""3-5-4""",2,7,"=""3-5""",0.4065,0.3157999999999999,0.3085,0.1949999999999999,0.5202952029520297,43.12415656299421
小松島競輪,3R,21:37,初日,チ,"=""4-3-5""",2,7,"=""4-3""",0.4891999999999999,0.3676,0.3228,0.3222,0.34137367130008167,43.04062726317019
前橋競輪,3R,21:45,初日,チ,"=""2-4-3""",5,7,"=""2-4""",0.4538999999999999,0.3949,0.3579,0.3126,0.3113020489094513,39.74878780725773
青森競輪,4R,21:53,初日,Ａ,"=""6-3-4""",1,7,"=""6-3""",0.4832999999999999,0.4725,0.2884,0.2803,0.4200289675150009,43.50968386982352
小松島競輪,4R,22:01,初日,チ,"=""4-3-6""",2,7,"=""4-3""",0.3846,0.3275,0.2815,0.262,0.3187727509100364,34.50839685015973
前橋競輪,4R,22:09,初日,チ,"=""4-3-1""",5,7,"=""4-3""",0.4454,0.3189999999999999,0.2721,0.2688,0.3964975303098339,42.521459362370905
青森競輪,5R,22:18,初日,Ａ,"=""5-3-4""",2,7,"=""5-3""",0.3639,0.3504,0.251,0.1667999999999999,0.5416323165704867,42.290120323479776
小松島競輪,5R,22:27,初日,チ,"=""3-1-5""",6,7,"=""3-1""",0.2914,0.2663999999999999,0.2119999999999999,0.2055,0.29478380233356216,29.524897538974415
前橋競輪,5R,22:36,初日,チ,"=""5-3-4""",2,7,"=""5-3""",0.42,0.356,0.2996,0.2634999999999999,0.37261904761904785,41.07397959183674
青森競輪,6R,22:45,初日,Ａ,"=""2-3-4""",5,7,"=""2-3""",0.4387,0.3824999999999999,0.3175,0.2743,0.37474356051971736,40.82115715262626
小松島競輪,6R,22:54,初日,チ,"=""4-3-1""",7,7,"=""4-3""",0.4656,0.3943,0.2347,0.1624999999999999,0.6509879725085914,52.025551055473755
前橋競輪,6R,23:03,初日,チ,"=""3-4-5""",6,7,"=""3-4""",0.3715,0.3474,0.2969,0.2177,0.4139973082099596,38.66921265141319
青森競輪,7R,23:12,初日,Ａ,"=""3-2-5""",7,7,"=""3-2""",0.4679999999999999,0.4659,0.4246,0.3440999999999999,0.2647435897435898,35.46272893772893
小松島競輪,7R,23:21,初日,チ,"=""4-2-3""",6,7,"=""4-2""",0.4791999999999999,0.4620999999999999,0.3963,0.3207,0.33075959933222027,42.2658072978774
前橋競輪,7R,23:30,初日,チ,"=""4-2-3""",5,7,"=""4-2""",0.4286,0.3455,0.3172,0.2028999999999999,0.5265982267848812,45.319240717285524
